station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
RUG,2020-02-12 02:55,-100.0243,48.3904,471.00,28.40,26.60,92.86,290.00,14.00,0.00,29.58,,10.00,,SCT,OVC,,,6500.00,7500.00,,,,,,,,,,16.52,KRUG 120255Z AUTO 29014KT 10SM SCT065 OVC075 M02/M03 A2958 RMK AO2,
46D,2020-02-12 02:55,-99.1513,47.4511,489.80,30.20,24.80,80.07,250.00,9.00,0.00,29.63,,10.00,16.00,SCT,SCT,BKN,,6500.00,7500.00,10000.00,,,,,,,,,21.28,K46D 120255Z AUTO 25009G16KT 10SM SCT065 SCT075 BKN100 M01/M04 A2963 RMK AO2,
D55,2020-02-12 02:55,-98.3937,48.7531,490.00,26.60,24.80,92.80,240.00,5.00,0.00,29.57,,10.00,,FEW,BKN,OVC,,2100.00,2700.00,3400.00,,,,,,,,,19.98,KD55 120255Z AUTO 24005KT 10SM FEW021 BKN027 OVC034 M03/M04 A2957 RMK AO2,
06D,2020-02-12 02:55,-99.6208,48.8844,555.00,26.60,23.00,86.07,310.00,9.00,0.00,29.57,,5.00,,OVC,,,,2100.00,,,,-SN,,,,,,,16.80,K06D 120255Z AUTO 31009KT 5SM -SN OVC021 M03/M05 A2957 RMK AO2,
7L2,2020-02-12 02:55,-100.2456,46.2206,541.00,28.40,21.20,74.08,220.00,10.00,0.00,29.67,,10.00,,BKN,OVC,,,7000.00,9500.00,,,,,,,,,,18.45,K7L2 120255Z AUTO 22010KT 10SM BKN070 OVC095 M02/M06 A2967 RMK AO2,
S32,2020-02-12 02:55,-98.1059,47.4228,434.00,28.40,26.60,92.86,200.00,12.00,0.00,29.63,,10.00,,CLR,,,,,,,,,,,,,,,17.42,KS32 120255Z AUTO 20012KT 10SM CLR M02/M03 A2963 RMK AO2,
Y19,2020-02-12 02:55,-100.8944,46.7680,592.00,30.20,24.80,80.07,260.00,12.00,0.00,29.64,,10.00,18.00,FEW,SCT,OVC,,3900.00,4800.00,6000.00,,,,,,,,,19.71,KY19 120255Z AUTO 26012G18KT 10SM FEW039 SCT048 OVC060 M01/M04 A2964 RMK AO2,
2C8,2020-02-12 02:55,-97.6320,48.7837,272.00,28.40,23.00,79.92,0.00,0.00,0.00,29.60,,10.00,,SCT,OVC,,,4200.00,5000.00,,,,,,,,,,28.40,K2C8 120255Z AUTO 00000KT 10SM SCT042 OVC050 M02/M05 A2960 RMK AO2,
D50,2020-02-12 02:55,-103.2973,48.9285,594.00,28.40,28.40,100.00,320.00,9.00,0.00,29.62,,3.00,,SCT,BKN,OVC,,400.00,900.00,2500.00,,-SN,,,,,,,19.04,KD50 120255Z AUTO 32009KT 3SM -SN SCT004 BKN009 OVC025 M02/M02 A2962 RMK AO2,
2D5,2020-02-12 02:55,-98.0799,46.1731,407.00,26.60,21.20,79.77,190.00,15.00,0.00,29.70,,10.00,,,,,,,,,,,,,,,,,13.78,K2D5 120255Z AUTO 19015KT 10SM M03/M06 A2970 RMK AO2,
RDR,2020-02-12 02:56,-97.4012,47.9611,278.00,28.90,22.60,77.00,240.00,12.00,0.00,29.61,1004.70,10.00,,OVC,,,,9000.00,,,,,,,,,,,18.06,KRDR 120256Z 24012KT 10SM OVC090 M02/M05 A2961 RMK AO2A SLP047 T10171052 57020,
JMS,2020-02-12 02:56,-98.6800,46.9300,457.00,30.00,21.90,71.48,210.00,11.00,0.00,29.63,1005.70,10.00,18.00,BKN,,,,11000.00,,,,,,,,,,,19.94,KJMS 120256Z AUTO 21011G18KT 10SM BKN110 M01/M06 A2963 RMK AO2 SLP057 T10111056 56016,
DIK,2020-02-12 02:56,-102.8019,46.7973,789.00,30.00,24.10,78.40,260.00,11.00,,29.58,1005.00,5.00,,FEW,SCT,OVC,,2000.00,2600.00,3400.00,,-SN,,,,,,,19.94,KDIK 120256Z AUTO 26011KT 5SM -SN FEW020 SCT026 OVC034 M01/M04 A2958 RMK AO2 SNB30 SLP050 P0000 60000 T10111044 56008 $,
DVL,2020-02-12 02:56,-98.9083,48.1146,443.00,27.00,21.90,80.83,220.00,8.00,0.00,29.59,1061.00,10.00,,FEW,OVC,,,4800.00,6000.00,,,,,,,,,,17.95,KDVL 120256Z AUTO 22008KT 10SM FEW048 OVC060 M03/M06 A2959 RMK AO2 SLP610 T10281056 56007 FZRANO,
BIS,2020-02-12 03:52,-100.7458,46.7727,506.00,30.90,28.00,88.84,270.00,7.00,,29.66,1006.60,2.50,,OVC,,,,2700.00,,,,-SN BR,,,,,,,23.44,KBIS 120352Z 27007KT 2 1/2SM -SN BR OVC027 M01/M02 A2966 RMK AO2 SNB19 SLP066 P0000 T10061022,
N60,2020-02-12 03:52,-101.4394,47.6458,587.00,28.90,28.90,100.00,270.00,5.00,0.01,29.61,1005.40,,,,,,,,,,,,,,,,,,22.71,KN60 120352Z AUTO 27005KT M02/M02 A2961 RMK AO1 SLP054 P0001 T10171017,
FAR,2020-02-12 03:53,-96.8111,46.9253,274.00,27.00,21.00,77.80,190.00,11.00,0.00,29.69,1006.80,10.00,,BKN,BKN,,,10000.00,12000.00,,,,,,,,,,16.15,KFAR 120353Z 19011KT 10SM BKN100 BKN120 M03/M06 A2969 RMK AO2 SLP068 T10281061,
HEI,2020-02-12 03:53,-102.6560,46.0149,828.00,30.00,23.00,74.87,250.00,11.00,0.00,29.64,1006.90,10.00,,SCT,BKN,OVC,,2200.00,4500.00,11000.00,,,,,,,,,19.94,KHEI 120353Z AUTO 25011KT 10SM SCT022 BKN045 OVC110 M01/M05 A2964 RMK AO2 SLP069 T10111050,
GFK,2020-02-12 03:53,-97.1761,47.9492,257.00,28.00,19.90,71.25,210.00,9.00,0.00,29.62,1004.60,10.00,,OVC,,,,7500.00,,,,,,,,,,,18.54,KGFK 120353Z 21009KT 10SM OVC075 M02/M07 A2962 RMK AO2 SLP046 T10221067,
MOT,2020-02-12 03:54,-101.2803,48.2594,523.00,30.90,28.00,88.84,270.00,6.00,,29.61,1004.80,4.00,,SCT,OVC,,,1400.00,3100.00,,,-SN BR,,,,,,,24.21,KMOT 120354Z 27006KT 4SM -SN BR SCT014 OVC031 M01/M02 A2961 RMK AO2 SLP048 P0000 T10061022,
GWR,2020-02-12 03:55,-97.6435,46.2187,385.00,28.40,24.80,86.18,210.00,16.00,0.00,29.68,,10.00,,BKN,OVC,,,9500.00,11000.00,,,,,,,,,,15.73,KGWR 120355Z AUTO 21016KT 10SM BKN095 OVC110 M02/M04 A2968 RMK A01,
08D,2020-02-12 03:55,-102.4064,48.3008,682.00,28.40,28.40,100.00,320.00,4.00,0.00,29.60,,6.00,,SCT,SCT,OVC,,2800.00,5500.00,7000.00,,-SN,,,,,,,23.22,K08D 120355Z AUTO 32004KT 6SM -SN SCT028 SCT055 OVC070 M02/M02 A2960 RMK AO2,
9D7,2020-02-12 03:55,-99.2364,48.4800,451.00,28.40,28.40,100.00,300.00,10.00,0.00,29.62,,2.00,,FEW,SCT,BKN,,3700.00,4600.00,5000.00,,-SN,,,,,,,18.45,K9D7 120355Z AUTO 30010KT 2SM -SN FEW037 SCT046 BKN050 M02/M02 A2962 RMK AO2,
D60,2020-02-12 03:55,-102.8974,48.3803,690.00,28.40,28.40,100.00,320.00,8.00,0.00,29.62,,3.00,,BKN,BKN,,,2000.00,2900.00,,,BR,,,,,,,19.68,KD60 120355Z AUTO 32008KT 3SM BR BKN020 BKN029 M02/M02 A2962 RMK AO2,
RUG,2020-02-12 03:55,-100.0243,48.3904,471.00,28.40,26.60,92.86,290.00,9.00,0.00,29.60,,10.00,,FEW,SCT,OVC,,1700.00,2300.00,7500.00,,,,,,,,,19.04,KRUG 120355Z AUTO 29009KT 10SM FEW017 SCT023 OVC075 M02/M03 A2960 RMK AO2,
20U,2020-02-12 03:55,-103.9821,46.9252,840.00,32.00,32.00,100.00,260.00,14.00,0.00,29.60,,3.00,,BKN,OVC,,,600.00,1100.00,,,-SN,,,,,,,21.16,K20U 120355Z AUTO 26014KT 3SM -SN BKN006 OVC011 00/00 A2960 RMK AO2,
96D,2020-02-12 03:55,-97.9028,48.9406,287.00,30.20,26.60,86.28,240.00,3.00,0.00,29.61,,4.00,,BKN,BKN,OVC,,2200.00,3100.00,4000.00,,-SN,,,,,,,26.63,K96D 120355Z AUTO 24003KT 4SM -SN BKN022 BKN031 OVC040 M01/M03 A2961 RMK AO2,
S25,2020-02-12 03:55,-103.2552,47.7966,642.00,28.40,30.20,,0.00,0.00,0.00,29.60,,5.00,,FEW,BKN,OVC,,100.00,800.00,3100.00,,-SN,,,,,,,,KS25 120355Z AUTO 00000KT 5SM -SN FEW001 BKN008 OVC031 M02/M01 A2960 RMK AO2,
46D,2020-02-12 03:55,-99.1513,47.4511,489.80,30.20,24.80,80.07,270.00,11.00,0.00,29.64,,10.00,,BKN,OVC,,,4000.00,5000.00,,,,,,,,,,20.19,K46D 120355Z AUTO 27011KT 10SM BKN040 OVC050 M01/M04 A2964 RMK AO2,
BWP,2020-02-12 03:55,-96.6074,46.2441,294.70,26.60,21.20,79.77,170.00,13.00,0.00,29.73,,10.00,,,,,,,,,,,,,,,,,14.65,KBWP 120355Z AUTO 17013KT 10SM M03/M06 A2973 RMK AO1,
D55,2020-02-12 03:55,-98.3937,48.7531,490.00,26.60,26.60,100.00,290.00,11.00,0.00,29.58,,2.00,,FEW,BKN,OVC,,100.00,1000.00,3200.00,,-SN,,,,,,,15.64,KD55 120355Z AUTO 29011KT 2SM -SN FEW001 BKN010 OVC032 M03/M03 A2958 RMK AO2,
06D,2020-02-12 03:55,-99.6208,48.8844,555.00,24.80,23.00,92.74,340.00,12.00,0.00,29.59,,10.00,19.00,SCT,BKN,OVC,,1100.00,2600.00,7500.00,,-SN,,,,,,,12.84,K06D 120355Z AUTO 34012G19KT 10SM -SN SCT011 BKN026 OVC075 M04/M05 A2959 RMK AO2,
2C8,2020-02-12 03:55,-97.6320,48.7837,272.00,26.60,23.00,86.07,120.00,4.00,0.00,29.61,,3.00,,FEW,SCT,OVC,,900.00,2500.00,2900.00,,-UP,,,,,,,21.11,K2C8 120355Z AUTO 12004KT 3SM -UP FEW009 SCT025 OVC029 M03/M05 A2961 RMK AO2,
7L2,2020-02-12 03:55,-100.2456,46.2206,541.00,30.20,23.00,74.26,260.00,10.00,0.00,29.68,,9.00,,FEW,SCT,BKN,,2700.00,3300.00,4500.00,,-UP,,,,,,,20.71,K7L2 120355Z AUTO 26010KT 9SM -UP FEW027 SCT033 BKN045 M01/M05 A2968 RMK AO2,
S32,2020-02-12 03:55,-98.1059,47.4228,434.00,28.40,28.40,100.00,210.00,11.00,0.00,29.63,,10.00,,CLR,,,,,,,,,,,,,,,17.92,KS32 120355Z AUTO 21011KT 10SM CLR M02/M02 A2963 RMK AO2,
HZE,2020-02-12 03:55,-101.5810,47.2899,552.00,30.20,30.20,100.00,250.00,4.00,0.00,29.64,,4.00,,FEW,SCT,BKN,,2600.00,3300.00,4600.00,,-SN,,,,,,,25.32,KHZE 120355Z AUTO 25004KT 4SM -SN FEW026 SCT033 BKN046 M01/M01 A2964 RMK AO2,
D50,2020-02-12 03:55,-103.2973,48.9285,594.00,26.60,26.60,100.00,350.00,9.00,0.00,29.64,,2.50,,SCT,OVC,,,1700.00,2700.00,,,-SN,,,,,,,16.80,KD50 120355Z AUTO 35009KT 2 1/2SM -SN SCT017 OVC027 M03/M03 A2964 RMK AO2,
Y19,2020-02-12 03:55,-100.8944,46.7680,592.00,30.20,30.20,100.00,260.00,10.00,0.00,29.64,,3.00,,SCT,OVC,,,3000.00,3700.00,,,-SN,,,,,,,20.71,KY19 120355Z AUTO 26010KT 3SM -SN SCT030 OVC037 M01/M01 A2964 RMK AO2,
2D5,2020-02-12 03:55,-98.0799,46.1731,407.00,26.60,23.00,86.07,200.00,15.00,0.00,29.69,,10.00,,,,,,,,,,,,,,,,,13.78,K2D5 120355Z AUTO 20015KT 10SM M03/M05 A2969 RMK AO2,
5H4,2020-02-12 03:55,-99.9317,47.7912,489.00,30.20,30.20,100.00,260.00,9.00,0.00,29.63,,3.00,,SCT,BKN,OVC,,2000.00,2800.00,3500.00,,-UP,,,,,,,21.28,K5H4 120355Z AUTO 26009KT 3SM -UP SCT020 BKN028 OVC035 M01/M01 A2963 RMK AO2,
BAC,2020-02-12 03:55,-98.0180,46.9412,427.30,26.60,24.80,92.80,210.00,17.00,0.00,29.65,,10.00,23.00,BKN,OVC,,,7000.00,9000.00,,,-SN,,,,,,,13.00,KBAC 120355Z AUTO 21017G23KT 10SM -SN BKN070 OVC090 M03/M04 A2965 RMK AO2,
GAF,2020-02-12 03:55,-97.3709,48.4047,251.00,28.40,24.80,86.18,200.00,5.00,0.00,29.63,,10.00,,CLR,,,,,,,,,,,,,,,22.12,KGAF 120355Z AUTO 20005KT 10SM CLR M02/M04 A2963 RMK AO2,
RDR,2020-02-12 03:56,-97.4012,47.9611,278.00,29.50,23.20,77.05,240.00,10.00,0.00,29.62,1004.90,10.00,,OVC,,,,8000.00,,,,,,,,,,,19.83,KRDR 120356Z 24010KT 10SM OVC080 M01/M05 A2962 RMK AO2A SLP049 T10141049,
DVL,2020-02-12 03:56,-98.9083,48.1146,443.00,28.90,24.10,82.00,280.00,12.00,,29.61,1061.50,8.00,,FEW,BKN,OVC,,3200.00,4000.00,5500.00,,-SN,,,,,,,18.06,KDVL 120356Z AUTO 28012KT 8SM -SN FEW032 BKN040 OVC055 M02/M04 A2961 RMK AO2 SNB38 SLP615 P0000 T10171044 FZRANO,
MIB,2020-02-12 03:56,-101.3580,48.4158,508.00,29.30,27.30,92.13,310.00,7.00,,29.60,1005.10,6.00,,BKN,,,,1200.00,,,,-SN,,,,,,,21.49,KMIB 120356Z 31007KT 6SM -SN BKN012 M01/M03 A2960 RMK SLP051 P0000 T10151026 $,
DIK,2020-02-12 03:56,-102.8019,46.7973,789.00,30.90,27.00,85.26,240.00,10.00,,29.57,1004.40,10.00,,OVC,,,,1400.00,,,,,,,,,,,21.59,KDIK 120356Z AUTO 24010KT 10SM OVC014 M01/M03 A2957 RMK AO2 SNE11 SLP044 P0000 T10061028 $,
JMS,2020-02-12 03:56,-98.6800,46.9300,457.00,30.90,21.90,68.91,230.00,13.00,0.00,29.62,1004.90,10.00,,OVC,,,,9000.00,,,,,,,,,,,20.16,KJMS 120356Z AUTO 23013KT 10SM OVC090 M01/M06 A2962 RMK AO2 SLP049 T10061056,
BIS,2020-02-12 04:52,-100.7458,46.7727,506.00,30.00,28.90,95.61,240.00,4.00,0.01,29.65,1006.10,4.00,,FEW,SCT,OVC,,2400.00,2900.00,3800.00,,-SN BR,,,,,,,25.08,KBIS 120452Z 24004KT 4SM -SN BR FEW024 SCT029 OVC038 M01/M02 A2965 RMK AO2 SLP061 P0001 T10111017,
N60,2020-02-12 04:52,-101.4394,47.6458,587.00,28.00,28.00,100.00,270.00,3.00,0.02,29.62,1005.50,,,,,,,,,,,,,,,,,,24.12,KN60 120452Z AUTO 27003KT M02/M02 A2962 RMK AO1 SLP055 P0002 T10221022,
FAR,2020-02-12 04:53,-96.8111,46.9253,274.00,27.00,21.00,77.80,180.00,9.00,0.00,29.67,1006.20,10.00,,SCT,,,,12000.00,,,,,,,,,,,17.30,KFAR 120453Z 18009KT 10SM SCT120 M03/M06 A2967 RMK AO2 SLP062 T10281061,
HEI,2020-02-12 04:53,-102.6560,46.0149,828.00,30.00,25.00,81.40,260.00,12.00,0.00,29.64,1006.40,10.00,,FEW,SCT,OVC,,4100.00,5000.00,6500.00,,,,,,,,,19.46,KHEI 120453Z AUTO 26012KT 10SM FEW041 SCT050 OVC065 M01/M04 A2964 RMK AO2 SLP064 T10111039,
GFK,2020-02-12 04:53,-97.1761,47.9492,257.00,30.00,21.00,68.81,230.00,13.00,0.00,29.62,1004.50,10.00,,BKN,OVC,,,4800.00,6500.00,,,,,,,,,,19.01,KGFK 120453Z 23013KT 10SM BKN048 OVC065 M01/M06 A2962 RMK AO2 SLP045 T10111061,
MOT,2020-02-12 04:54,-101.2803,48.2594,523.00,30.00,28.00,92.15,310.00,8.00,,29.63,1005.40,4.00,,SCT,BKN,OVC,,900.00,1400.00,2600.00,,-SN BR,,,,,,,21.65,KMOT 120454Z AUTO 31008KT 4SM -SN BR SCT009 BKN014 OVC026 M01/M02 A2963 RMK AO2 SLP054 P0000 T10111022,
GWR,2020-02-12 04:55,-97.6435,46.2187,385.00,30.20,24.80,80.07,230.00,15.00,0.00,29.67,,10.00,,BKN,OVC,,,7000.00,7500.00,,,,,,,,,,18.45,KGWR 120455Z AUTO 23015KT 10SM BKN070 OVC075 M01/M04 A2967 RMK A01,
46D,2020-02-12 04:55,-99.1513,47.4511,489.80,28.40,28.40,100.00,280.00,10.00,0.00,29.64,,2.00,,,,,,,,,,-SN,,,,,,,18.45,K46D 120455Z AUTO 28010KT 2SM -SN M02/M02 A2964 RMK AO2,
5H4,2020-02-12 04:55,-99.9317,47.7912,489.00,28.40,28.40,100.00,270.00,8.00,0.00,29.64,,9.00,,BKN,BKN,OVC,,2000.00,2900.00,3900.00,,,,,,,,,19.68,K5H4 120455Z AUTO 27008KT 9SM BKN020 BKN029 OVC039 M02/M02 A2964 RMK AO2,
20U,2020-02-12 04:55,-103.9821,46.9252,840.00,32.00,32.00,100.00,260.00,10.00,0.00,29.61,,2.00,,BKN,BKN,OVC,,300.00,700.00,2600.00,,-SN,,,,,,,22.97,K20U 120455Z AUTO 26010KT 2SM -SN BKN003 BKN007 OVC026 00/00 A2961 RMK AO2,
D50,2020-02-12 04:55,-103.2973,48.9285,594.00,24.80,24.80,100.00,360.00,16.00,0.00,29.69,,10.00,,FEW,OVC,,,1200.00,2600.00,,,,,,,,,,11.03,KD50 120455Z AUTO 36016KT 10SM FEW012 OVC026 M04/M04 A2969 RMK AO2,
06D,2020-02-12 04:55,-99.6208,48.8844,555.00,23.00,21.20,92.69,350.00,17.00,0.00,29.62,,10.00,,BKN,BKN,OVC,,1100.00,1500.00,2300.00,,,,,,,,,8.28,K06D 120455Z AUTO 35017KT 10SM BKN011 BKN015 OVC023 M05/M06 A2962 RMK AO2,
Y19,2020-02-12 04:55,-100.8944,46.7680,592.00,28.40,28.40,100.00,250.00,5.00,0.00,29.64,,7.00,,FEW,SCT,BKN,,900.00,3200.00,4300.00,,-SN,,,,,,,22.12,KY19 120455Z AUTO 25005KT 7SM -SN FEW009 SCT032 BKN043 M02/M02 A2964 RMK AO2,
2D5,2020-02-12 04:55,-98.0799,46.1731,407.00,26.60,23.00,86.07,190.00,11.00,0.00,29.67,,10.00,,,,,,,,,,,,,,,,,15.64,K2D5 120455Z AUTO 19011KT 10SM M03/M05 A2967 RMK AO2,
S25,2020-02-12 04:55,-103.2552,47.7966,642.00,28.40,28.40,100.00,0.00,0.00,0.00,29.62,,2.50,,OVC,,,,100.00,,,,-SN,,,,,,,28.40,KS25 120455Z AUTO 00000KT 2 1/2SM -SN OVC001 M02/M02 A2962 RMK AO2,
2C8,2020-02-12 04:55,-97.6320,48.7837,272.00,26.60,24.80,92.80,0.00,0.00,0.00,29.62,,1.00,,OVC,,,,300.00,,,,-SN,,,,,,,26.60,K2C8 120455Z AUTO 00000KT 1SM -SN OVC003 M03/M04 A2962 RMK AO2,
9D7,2020-02-12 04:55,-99.2364,48.4800,451.00,26.60,26.60,100.00,340.00,15.00,0.00,29.64,,4.00,20.00,SCT,BKN,OVC,,1000.00,3100.00,4400.00,,-SN,,,,,,,13.78,K9D7 120455Z AUTO 34015G20KT 4SM -SN SCT010 BKN031 OVC044 M03/M03 A2964 RMK AO2,
96D,2020-02-12 04:55,-97.9028,48.9406,287.00,28.40,28.40,100.00,300.00,4.00,0.00,29.63,,1.75,,OVC,,,,200.00,,,,-SN,,,,,,,23.22,K96D 120455Z AUTO 30004KT 1 3/4SM -SN OVC002 M02/M02 A2963 RMK AO2,
08D,2020-02-12 04:55,-102.4064,48.3008,682.00,28.40,28.40,100.00,350.00,10.00,0.00,29.62,,10.00,,BKN,BKN,OVC,,800.00,3200.00,6500.00,,,,,,,,,18.45,K08D 120455Z AUTO 35010KT 10SM BKN008 BKN032 OVC065 M02/M02 A2962 RMK AO2,
7L2,2020-02-12 04:55,-100.2456,46.2206,541.00,30.20,28.40,92.92,320.00,5.00,0.00,29.67,,10.00,,BKN,BKN,OVC,,3400.00,4200.00,5500.00,,,,,,,,,24.26,K7L2 120455Z AUTO 32005KT 10SM BKN034 BKN042 OVC055 M01/M02 A2967 RMK AO2,
S32,2020-02-12 04:55,-98.1059,47.4228,434.00,28.40,28.40,100.00,220.00,11.00,0.00,29.63,,6.00,,SCT,SCT,BKN,,1800.00,2200.00,4500.00,,BR,,,,,,,17.92,KS32 120455Z AUTO 22011KT 6SM BR SCT018 SCT022 BKN045 M02/M02 A2963 RMK AO2,
RUG,2020-02-12 04:55,-100.0243,48.3904,471.00,26.60,26.60,100.00,360.00,4.00,0.00,29.62,,10.00,,BKN,BKN,OVC,,1000.00,3400.00,4400.00,,,,,,,,,21.11,KRUG 120455Z AUTO 36004KT 10SM BKN010 BKN034 OVC044 M03/M03 A2962 RMK AO2,
HZE,2020-02-12 04:55,-101.5810,47.2899,552.00,30.20,30.20,100.00,0.00,0.00,0.00,29.64,,3.00,,FEW,SCT,BKN,,400.00,1300.00,2200.00,,-SN,,,,,,,30.20,KHZE 120455Z AUTO 00000KT 3SM -SN FEW004 SCT013 BKN022 M01/M01 A2964 RMK AO2,
D55,2020-02-12 04:55,-98.3937,48.7531,490.00,26.60,28.40,,320.00,10.00,0.00,29.60,,2.00,,SCT,BKN,OVC,,100.00,1000.00,1900.00,,-SN,,,,,,,,KD55 120455Z AUTO 32010KT 2SM -SN SCT001 BKN010 OVC019 M03/M02 A2960 RMK AO2,
BAC,2020-02-12 04:55,-98.0180,46.9412,427.30,26.60,24.80,92.80,220.00,13.00,0.00,29.65,,10.00,,BKN,OVC,,,6000.00,7000.00,,,,,,,,,,14.65,KBAC 120455Z AUTO 22013KT 10SM BKN060 OVC070 M03/M04 A2965 RMK AO2,
D60,2020-02-12 04:55,-102.8974,48.3803,690.00,26.60,26.60,100.00,360.00,9.00,0.00,29.64,,7.00,,SCT,SCT,,,1200.00,3700.00,,,,,,,,,,16.80,KD60 120455Z AUTO 36009KT 7SM SCT012 SCT037 M03/M03 A2964 RMK AO2,
BWP,2020-02-12 04:55,-96.6074,46.2441,294.70,28.40,21.20,74.08,170.00,11.00,0.00,29.70,,10.00,,,,,,,,,,,,,,,,,17.92,KBWP 120455Z AUTO 17011KT 10SM M02/M06 A2970 RMK AO1,
GAF,2020-02-12 04:55,-97.3709,48.4047,251.00,28.40,24.80,86.18,0.00,0.00,0.00,29.64,,2.50,,FEW,BKN,BKN,,200.00,900.00,1400.00,,-SN,,,,,,,28.40,KGAF 120455Z AUTO 00000KT 2 1/2SM -SN FEW002 BKN009 BKN014 M02/M04 A2964 RMK AO2,
DVL,2020-02-12 04:56,-98.9083,48.1146,443.00,28.00,26.10,92.46,310.00,10.00,,29.62,1061.90,1.75,,BKN,OVC,,,1900.00,2600.00,,,-SN BR,,,,,,,17.95,KDVL 120456Z AUTO 31010KT 1 3/4SM -SN BR BKN019 OVC026 M02/M03 A2962 RMK AO2 SLP619 P0000 T10221033 410111100 FZRANO,
RDR,2020-02-12 04:56,-97.4012,47.9611,278.00,30.40,24.30,77.78,260.00,11.00,0.00,29.62,1004.80,10.00,,OVC,,,,6000.00,,,,,,,,,,,20.44,KRDR 120456Z 26011KT 10SM OVC060 M01/M04 A2962 RMK AO2A SLP048 T10091043,
JMS,2020-02-12 04:56,-98.6800,46.9300,457.00,30.90,19.90,63.31,270.00,11.00,0.00,29.63,1005.40,10.00,,BKN,BKN,OVC,,6000.00,7500.00,9500.00,,,,,,,,,21.08,KJMS 120456Z AUTO 27011KT 10SM BKN060 BKN075 OVC095 M01/M07 A2963 RMK AO2 SLP054 T10061067,
DIK,2020-02-12 04:56,-102.8019,46.7973,789.00,30.90,28.00,88.84,270.00,9.00,,29.57,1004.20,4.00,,BKN,BKN,OVC,,1500.00,2100.00,2600.00,,-SN BR,,,,,,,22.15,KDIK 120456Z AUTO 27009KT 4SM -SN BR BKN015 BKN021 OVC026 M01/M02 A2957 RMK AO2 SNB25 SLP042 P0000 T10061022 $,
BIS,2020-02-12 05:52,-100.7458,46.7727,506.00,30.00,28.00,92.15,0.00,0.00,0.01,29.64,1005.70,4.00,,FEW,OVC,,,1900.00,5000.00,,,-SN BR,,,,,,,30.00,KBIS 120552Z AUTO 00000KT 4SM -SN BR FEW019 OVC050 M01/M02 A2964 RMK AO2 SLP057 P0001 60002 T10111022 10017 21011 400221100 56006,
N60,2020-02-12 05:52,-101.4394,47.6458,587.00,28.00,28.00,100.00,310.00,7.00,0.00,29.63,1006.00,,,,,,,,,,,,,,,,,,19.90,KN60 120552Z AUTO 31007KT M02/M02 A2963 RMK AO1 SLP060 60004 T10221022 11006 21022 400001122 53010,
HEI,2020-02-12 05:53,-102.6560,46.0149,828.00,30.00,26.10,85.21,250.00,10.00,0.00,29.63,1006.20,10.00,,FEW,SCT,OVC,,3000.00,4700.00,6500.00,,,,,,,,,20.46,KHEI 120553Z AUTO 25010KT 10SM FEW030 SCT047 OVC065 M01/M03 A2963 RMK AO2 SLP062 T10111033 11006 21017 56004,
FAR,2020-02-12 05:53,-96.8111,46.9253,274.00,26.10,21.00,80.75,190.00,7.00,0.00,29.66,1005.90,10.00,,BKN,,,,10000.00,,,,,,,,,,,17.59,KFAR 120553Z 19007KT 10SM BKN100 M03/M06 A2966 RMK AO2 SLP059 T10331061 11028 21033 410171072 57013,
GFK,2020-02-12 05:53,-97.1761,47.9492,257.00,28.90,23.00,78.30,250.00,7.00,,29.63,1004.80,3.00,,OVC,,,,2900.00,,,,-SN,,,,,,,21.00,KGFK 120553Z AUTO 25007KT 3SM -SN OVC029 M02/M05 A2963 RMK AO2 SNB02 SLP048 4/013 P0000 60000 T10171050 11011 21039 410111128 53002,
MOT,2020-02-12 05:54,-101.2803,48.2594,523.00,27.00,23.00,84.66,350.00,14.00,,29.67,1006.80,10.00,,SCT,BKN,OVC,,900.00,1600.00,2000.00,,,,,,,,,14.72,KMOT 120554Z AUTO 35014KT 10SM SCT009 BKN016 OVC020 M03/M05 A2967 RMK AO2 SNE16 SLP068 P0000 60000 T10281050 10011 21028 400171083 51020,
S25,2020-02-12 05:55,-103.2552,47.7966,642.00,28.40,30.20,,360.00,11.00,0.00,29.66,,3.00,16.00,SCT,BKN,OVC,,100.00,400.00,1800.00,,-SN,,,,,,,,KS25 120555Z AUTO 36011G16KT 3SM -SN SCT001 BKN004 OVC018 M02/M01 A2966 RMK AO2,
46D,2020-02-12 05:55,-99.1513,47.4511,489.80,30.20,28.40,92.92,290.00,9.00,0.00,29.64,,3.00,,BKN,OVC,,,100.00,1000.00,,,-SN,,,,,,,21.28,K46D 120555Z AUTO 29009KT 3SM -SN BKN001 OVC010 M01/M02 A2964 RMK AO2,
GWR,2020-02-12 05:55,-97.6435,46.2187,385.00,28.40,24.80,86.18,230.00,8.00,0.00,29.65,,10.00,,SCT,SCT,OVC,,5500.00,6000.00,7000.00,,,,,,,,,19.68,KGWR 120555Z AUTO 23008KT 10SM SCT055 SCT060 OVC070 M02/M04 A2965 RMK A01,
